CD_CVM,NM_PREGAO,BTICKER,SETOR,SUBSETOR,SEGMENTO,CD_GOVERN,QTDE_ON,QTDE_PN
23965,CINESYSTEM,CNSY,Comunicações,Mídia,Produção e Difusão de Filmes e Programas,MA,30969063,0
17973,COGNA ON,COGN,Consumo Cíclico,Diversos,Serviços Educacionais,NM             ,1876606210,0
22268,CONC RAPOSO,RPTA,Bens Industriais,Transporte,Exploração de Rodovias,,3432069431,3432069431
23515,GRUAIRPORT,AGRU,Bens Industriais,Transporte,Serviços de Apoio e Armazenagem,MB             ,3033541675,0
20397,ECOVIAS,ECOV,Bens Industriais,Transporte,Exploração de Rodovias,,262452000,0
19208,CONC RIO TER,CRTE,Bens Industriais,Transporte,Exploração de Rodovias,MB             ,48786,37680
22411,ECOPISTAS,ASCP,Bens Industriais,Transporte,Exploração de Rodovias,,496454987,0
21024,VIAOESTE,VOES,Bens Industriais,Transporte,Exploração de Rodovias,,6988146121,6988146121
22721,ROD TIETE,RDVT,Bens Industriais,Transporte,Exploração de Rodovias,,30357847596,0
22071,RT BANDEIRAS,CRBD,Bens Industriais,Transporte,Exploração de Rodovias,,278399525,278399525
20192,AUTOBAN,ANHB,Bens Industriais,Transporte,Exploração de Rodovias,,175000000,0
4693,ODERICH,ODER,Consumo não Cíclico,Alimentos Processados,Alimentos Diversos,,9858589,1428517
4707,ALFA CONSORC,BRGE,Financeiro,Previdência e Seguros,Seguradoras,,40394932,33251456
4723,CONST A LIND,CALI,Consumo Cíclico,Construção Civil,Incorporações,,124040,248079
21148,TENDA,TEND,Consumo Cíclico,Construção Civil,Incorporações,NM             ,104344246,0
4863,COR RIBEIRO,CORR,Financeiro,Exploração de Imóveis,Exploração de Imóveis,,7815,15338
23485,COSAN LOG,RLOG,Bens Industriais,Transporte,Transporte Ferroviário,NM             ,463224241,0
19836,COSAN,CSAN,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",NM             ,394210000,0
18660,CPFL ENERGIA,CPFE,Utilidade Pública,Energia Elétrica,Energia Elétrica,NM             ,1152254440,0
20540,CPFL RENOVAV,CPRE,Utilidade Pública,Energia Elétrica,Energia Elétrica,NM             ,521315091,0
18953,CPFL GERACAO,CPFG,Utilidade Pública,Energia Elétrica,Energia Elétrica,,68500208756,136991810529
20630,CR2,CRDE,Consumo Cíclico,Construção Civil,Incorporações,NM             ,2422153,0
20044,CSU CARDSYST,CARD,Bens Industriais,Serviços Diversos,Serviços Diversos,NM             ,41800000,0
18376,TRAN PAULIST,TRPL,Utilidade Pública,Energia Elétrica,Energia Elétrica,N1             ,257937732,400945572
23310,CVC BRASIL,CVCB,Consumo Cíclico,Viagens e Lazer,Viagens e Turismo,NM             ,149328579,0
14460,CYRELA REALT,CYRE,Consumo Cíclico,Construção Civil,Incorporações,NM             ,399742799,0
21040,CYRE COM-CCP,CCPR,Financeiro,Exploração de Imóveis,Exploração de Imóveis,NM             ,165113612,0
19623,DASA,DASA,Saúde,Análises e Diagnósticos,Análises e Diagnósticos,,480813758,0
14214,DIBENS LSG,DBEN,Financeiro,Intermediários Financeiros,Soc. Arrendamento Mercantil,,1504996693,0
9342,DIMED,PNVL,Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos,,121994700,13485690
21350,DIRECIONAL,DIRR,Consumo Cíclico,Construção Civil,Incorporações,NM             ,153398749,0
5207,DOHLER,DOHL,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos,,43574256,16941972
23493,DOMMO,DMMO,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",,270040228,0
